abad;abad,jaman
dadak;mupadok,ngedadak,tibo-tibo,meghagang
dadap;ghaddak,keceghik,gedak
dadar;dadagh
dadu;dadu,dadeu
daftar;catitah,daptagh
dagang;jualbeli,daganng
daging;daging
dagu;dagu,dageu
dahaga;mahu,mahheu,awes
dahak;haghak,hegol,latteh,lattoh
dahan;pappang,dahan,heghong
dahi;pudak,jidad,kedok,kedak
dahsyat;kuat,dahsyat
dahulu;tumbai,sekajjo,saighadu,mena,ho,menou
daki;lalik,nanjak
dakwah;tuntut,ghekkes
dalam;dilom,ghelem
dalang;dalang,kedaukain
dalih;dasagh,alasan,dalih,tanggilan
dalil;keteghangan,dalil
damai;damai,tenteghambeghunding
damar;damagh,damau
damba;haghap,peghetok,aneh
dampak;padah,akibat,layu,nas,pengecuk
dampar;tehumpas,dappagh,sappet,sappot
damping;hapik,ghedik,jamo
danau;ghanau,paya,danau
dandan;danai,helauko,beghikot,dandan,hunding
dandang;dandang,kukusan
dangau;sapu,kubu,anjung
dangkal;kekah,jejek,jejok
dansa;naghi,dansa,joget
dapat;dacok,dapok,massa,massou
dapur;dapugh,sekelak
dara;mulli,mulei
darah;sendawa,ghah
darat;daghat,talang
dari;anjak,jak
darimana;jakipa,jakkedou
darma;kewajiban,deghmo,ngejuk
darurat;tepaksa,sepenem,daghughat
dasar;dasagh,dibah,lapik,
dasi;dasi
datang;ghatong,megeu,tigoh,tembuk,maghouo
datar;ghatta,daato,dantagh,ghattou
datuk;tamong,atuk,bakas,datuk
daulat;ngangkat,appun,daulat
daun;bulung
daya;upaya,usaha,kekuatan,tenago,jiwou
dayang;pengipas,gundik,dayang,lembang
dayung;kayung,pengayoh,dayung
debar;degup,debagh,dagdug
debat;bantah,battah,debat
debu;ghaghebuk,hambau,abeu,abu
dedak;huwok,wek,wok
definisi;ketentuan,ketatuan,defenisi
dekap;dakok,dakap,dakep
dekat;ghedik,ghandos,paghek
delapan;walu,waleu
delegasi;utusan,kayinan
delima;delima
deliman;sado,sadeu,delman
demam;mehandok,gelogosan,maghing,meghuyuh
dempet;duppit,selepa,ghapit
dempul;dempul,pulitan,depppul
denda;dendo,dandao
dendam;sakikhati,dendem,teddes
dendeng;debdeng,dending
dengan;jama,jamo,ghik,jamao
dengar;nengis,dengei,tengis,tiyen
dengki;maksenang,ighidekei,bejei,ghil
dengkur;manggogh,puwu,puwegh
dengung;dengung,dengong
denyut;denyut,kettop,denyet
depa;kepa,depa
depak;tepuk,sipak,kuwis
depan;hena,depan,muka
dera;babbas,gebuk,pecut
derajat;tingkat,kejengan,deghajat
deras;haghus,deghas,hayasgeluk
deret;jajagh,jajai,jijigh,deret,baghis
derita;kesusahan,sagho,deghita,sesset
derma;sedekah,pengejuk,bakti,deghma
desa;pekon,tiyuh,anek
desak;peghallu,desak
detik;detik
dewa;diwa,diwou
dewasa;mubalak,puka,dewasa
di;di
dia;ia,beliau,yo,diyo,you,tiangghuppok
dialek;lughat,has
diam;ngehaman,menong,ngehamma,hanning,hummou,menneng
didih;ghunggak,gettek
didik;tawai,ajagh,didik
dik;dik
dikir;dikigh
dikit;cutik
diktat;catitan,cateta,diktat
dikte;cacak,bacakon,dikti
dilema;angon-angon,ghidu,peghsoalan
dimana;dipa,dikedou
dinding;sassai,kekket
dingin;nginson,ngisen
dini;awal,mula,mualo
dipan;ghanjang,bakkeu,anben,katil
diri;badan,pesai,dighi
diskusi;hippun,mupakat,cecingga,musagwaghah,diskusi
doa;dua,bekuli,buhaghap
dodol;juadah,dudul
